LLR-ID,SR-Refs,Title,Module,CodeSymbol,Detail,TestRefs,Status
LLR-001,SR-001,Config loader with env secret override,src/MinecraftKeeper/Public/Import-KeeperConfig.ps1,Import-KeeperConfig,"Resolve config path (param/env/default), Import-PowerShellDataFile, override NagLight token from MCKEEPER_FEED_TOKEN, validate required keys, throw on missing.",TC-001,Done
LLR-002,SR-001,Structured console logger,src/MinecraftKeeper/Private/Log.ps1,Write-KeeperLog,"Timestamped INFO/WARN/ERROR/OK lines shared by entry points.",,Done
LLR-003,SR-002,NagLight feeder client,src/MinecraftKeeper/Public/Send-NagLightFeed.ps1,Send-NagLightFeed,"POST {check,ok,note} to /api/feed with bearer token; -WhatIfPost prints payload without posting; never fabricates ok=true.",TC-002,Done
LLR-004,SR-003,Server-up probe,src/MinecraftKeeper/Public/Get-McServerStatus.ps1,Get-McServerStatus,"TCP connect with timeout; optional local java-process corroboration; returns Up + note.",TC-003,Done
LLR-005,SR-003,Paper version currency (v3 fill API),src/MinecraftKeeper/Public/Get-McPaperCurrency.ps1,Get-McPaperCurrency;Resolve-ActivePaperJar,"Resolve active jar (START.bat then newest), parse version/build, query v3 builds, compare; any API error => Ok=false with note.",TC-004,Done
LLR-006,SR-002;SR-003,Checker orchestrator,src/MinecraftKeeper/Public/Invoke-McKeeperCheck.ps1,Invoke-McKeeperCheck,"Run up-probe + version (+ optional plugins), report each to NagLight; failures post ok=false, never skipped.",TC-005,Done
LLR-010,SR-004,plugin.yml manifest reader,src/MinecraftKeeper/Private/Jar.ps1,Get-PluginManifest,"Open jar as zip read-only, read plugin.yml/paper-plugin.yml, grab name/version/api-version/authors/depend; note on parse failure.",TC-006,Done
LLR-011,SR-004,Plugin inventory + source mapping,src/MinecraftKeeper/Public/Get-McPluginInventory.ps1,Get-McPluginInventory,"Enumerate plugins/*.jar, map to fork (diytechy snapshot) + canonical (plugin-sources.psd1); emit redacted JSON+MD; 'unmapped' when unresolved.",TC-007,Done
LLR-012,SR-006,Update plan (Modrinth),src/MinecraftKeeper/Public/Get-McPluginUpdatePlan.ps1,Get-McPluginUpdatePlan,"For each Modrinth-slugged plugin, query latest build for MC version+loaders, compare (build metadata stripped); fork/Hangar/Spigot/unmapped flagged for human.",TC-008,Done
LLR-013,SR-006,Staged verify + gated swap,src/MinecraftKeeper/Public/Invoke-McPluginUpdate.ps1,Invoke-McPluginUpdate;Test-ApiVersionCompatible,"Download to staging, verify sha512+manifest+api-version, produce swap plan; -Execute backs up old jar then installs, rollback on failure.",TC-009;TC-010,Done
LLR-020,SR-005,Settings backup archiver,src/MinecraftKeeper/Public/Backup-McSettings.ps1,Backup-McSettings,"Copy config-extension files from root/config/plugins (skip bulky dirs), worlds behind -IncludeWorlds, zip to timestamped archive at BackupDest; ShouldProcess-gated write.",TC-011,Done
LLR-030,SR-007,Fork status detection,src/MinecraftKeeper/Public/Get-McForkStatus.ps1,Get-McForkStatus,"For fork-sourced plugins, query GitHub releases/latest + tags, classify status; read-only, never pushes; 'unknown' on failure.",TC-012,Done
